Sand_Type,Mould_Height_cm,Sand_Height_in_Mould_cm,Mould_Size_cm,Volume_Mould_cm3,Sand_Mass_g,Field_Dry_Density_kNm3,yd_min_kNm3,yd_max_kNm3,Relative_Density_Dr_decimal,Relative_Density_Dr_pct
River Sand,3.7,2.55,6x6,91.8,153,16.35,14.8,17.78,0.5656,56.56
Crushed Sand,3.7,2.6,6x6,93.6,158,16.6,15.04,17.95,0.5797,57.97
